,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,아프리카가나,바나나,플랜틴,샘오취리,,,,,,,,,,,,,,,,,,,,,,,,,,
1,culturalvillage,souvenir,trip,가나여행,아프리카여행,djembe,vintagephoto,africa,dance,artisansmarket,drum,ghana,handcraft,,,,,,,,,,,,,,,,,
2,trip,가나여행,canopywalk,skywalk,아프리카여행,africa,kakumnationalpark,ghana,도마뱀,,,,,,,,,,,,,,,,,,,,,
3,fieldview,accra,safari,가나여행,원숭이많음,africa,아프리카여행,ghana,,,,,,,,,,,,,,,,,,,,,,
4,국제개발협력,국제간호사,korea,대학생공모전,globalhealth,ghana,가나여행,아프리카봉사,간호학과대외활동,간호사,국제한인간호재단,국제보건리더십프로그램,아프리카여행,globalnurse,glp,healthcare,nr,가나,해외봉사,아프리카,globalleader,gknf,ngo,대학생대외활동,아프리카누가가나,간호학과,f4f,국제보건,내가가나,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,아프리카,아프리카여행,가나여행,아크라,유니는비행중,🇬🇭,샘오취리,가나,승무원,,,,,,,,,,,,,,,,,,,,,
7,가나여행,wlifalls,폭포,아프리카여행,waterfallhike,,,,,,,,,,,,,,,,,,,,,,,,,
8,우리민땡이도,너네생각하며힘을낼께,ㅋㅋㅋ,가나여행,내삶의힘,프랑스여행,좋겠다,여행중,aroundtheworld,우리용땡이,인도가너무웃김,인도여행,,,,,,,,,,,,,,,,,,
9,ghana,아프리카,africa,가나여행,아프리카여행,goldentulip,goldentuliphotel,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,가나여행,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,아프리카여행,가나여행,wli,tafiatomemonkeysanctuary,,,,,,,,,,,,,,,,,,,,,,,,,,
13,가나여행,wlifalls,아프리카여행,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,가나여행,아프리카여행,travelghana,서아프리카,italianrestaurant,kokrobite,,,,,,,,,,,,,,,,,,,,,,,,
16,아프리카여행,ghana,가나,ghanaakwantuo,travelghana,스카이스캐너,여행가영,shaihills,travelafrica,여행에미치다_아프리카,가나여행,,,,,,,,,,,,,,,,,,,
17,여행가영,travelghana,가나여행,스카이스캐너,ghanaakwantuo,shaihills,여행에미치다_아프리카,,,,,,,,,,,,,,,,,,,,,,,
18,선팔100,웃스타그램,유머스타그램,온르의유머,웃긴사진,유머,한글공부,웃긴영상,선팔후맞팔,가나,선팔하면맞팔,맞팔해요우리,가나여행,맞팔선팔환영,잼스타그램,웃긴짤,가나다라,맞팔100,한글배움,맞팔그램,,,,,,,,,,
19,가나여행,james,아프리카여행,아크라,,,,,,,,,,,,,,,,,,,,,,,,,,
20,마콜라,아크라,가나여행,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,fugu,아프리카음식,가나여행,아프리카여행,우갈리,,,,,,,,,,,,,,,,,,,,,,,,,
22,엘미나,elmina,가나여행,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,원숭이조각,원숭이세마리,아크라,가나여행,,,,,,,,,,,,,,,,,,,,,,,,,,
24,아프리카여행,가나여행,토마토,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,공정무역,가나여행,공정여행,아프리카여행,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,여행에미치다,hapooooom,독립문,가나,열기구,일러스트레이터,freedom,아프리카여행,africa,travel,여행,가나여행,유디니,여행일러스트,하품,여행스타그램,하품작가,justice,작가하품,열기구여행,일러스트,아프리카,,,,,,,,
28,가나음식,accra,ghana,가나여행,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,아프리카여행,몰레국립공원,elminacastle,가나여행,엘미나성,molemotel,여행에미치다_아프리카,,,,,,,,,,,,,,,,,,,,,,,
31,ghana,capecoastcastle,가나여행,africa,elminacastle,노예무역,성,slavery,감옥,,,,,,,,,,,,,,,,,,,,,
32,ghanabeach,beach,accra,beachday,ghana,travel,godisgood,기니만,아프리카여행,westafrica,capecoast,instatravel,labadibeach,travelafrica,tropical,ghanagram,가나,travelgram,아프리카,travelholic,iloveaccra,visitghana,africa,ocean,gulfofguinea,가나여행,아크라,beachhorse,loveghana,horse
33,플랜틴,샘오취리,아프리카가나,바나나,,,,,,,,,,,,,,,,,,,,,,,,,,
34,ghana,아프리카여행,drum,artisansmarket,가나여행,africa,trip,dance,vintagephoto,djembe,souvenir,culturalvillage,handcraft,,,,,,,,,,,,,,,,,
35,skywalk,trip,canopywalk,africa,kakumnationalpark,아프리카여행,ghana,가나여행,도마뱀,,,,,,,,,,,,,,,,,,,,,
36,accra,가나여행,safari,아프리카여행,ghana,원숭이많음,fieldview,africa,,,,,,,,,,,,,,,,,,,,,,
37,globalleader,ngo,f4f,nr,간호사,아프리카봉사,해외봉사,아프리카여행,가나,glp,healthcare,globalhealth,대학생공모전,ghana,가나여행,국제간호사,간호학과대외활동,아프리카,간호학과,대학생대외활동,국제보건리더십프로그램,국제보건,내가가나,gknf,국제한인간호재단,국제개발협력,korea,아프리카누가가나,globalnurse,
38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,아크라,아프리카,샘오취리,승무원,아프리카여행,유니는비행중,가나여행,가나,🇬🇭,,,,,,,,,,,,,,,,,,,,,
40,폭포,아프리카여행,가나여행,waterfallhike,wlifalls,,,,,,,,,,,,,,,,,,,,,,,,,
41,여행중,가나여행,너네생각하며힘을낼께,인도가너무웃김,좋겠다,내삶의힘,ㅋㅋㅋ,인도여행,우리용땡이,aroundtheworld,프랑스여행,우리민땡이도,,,,,,,,,,,,,,,,,,
42,아프리카,goldentulip,아프리카여행,ghana,가나여행,goldentuliphotel,africa,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,가나여행,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,tafiatomemonkeysanctuary,아프리카여행,가나여행,wli,,,,,,,,,,,,,,,,,,,,,,,,,,
46,가나여행,아프리카여행,wlifalls,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,아프리카여행,서아프리카,kokrobite,italianrestaurant,travelghana,가나여행,,,,,,,,,,,,,,,,,,,,,,,,
49,가나여행,travelghana,ghanaakwantuo,shaihills,travelafrica,ghana,여행가영,가나,여행에미치다_아프리카,아프리카여행,스카이스캐너,,,,,,,,,,,,,,,,,,,
50,여행에미치다_아프리카,여행가영,travelghana,shaihills,스카이스캐너,가나여행,ghanaakwantuo,,,,,,,,,,,,,,,,,,,,,,,
51,온르의유머,가나,선팔후맞팔,한글공부,가나여행,맞팔선팔환영,웃긴영상,선팔100,유머스타그램,선팔하면맞팔,잼스타그램,웃긴사진,맞팔100,웃스타그램,한글배움,유머,웃긴짤,맞팔그램,맞팔해요우리,가나다라,,,,,,,,,,
