,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,혼혈아기,africa,아침일찍,준비모드,딸래미,nigeria,밀린여행사진,차타는거무지좋아함,엄마정신없음,나이지리아,빨리나가고싶은,대기중,시댁방문,폭풍업뎃,아프리카,이미벌써,블라시안,travel,블라시안가족,블라시안베이비,모자까지쓰고,한달치,가족여행,아프리카여행,나이지리아여행,owerri,,,,
1,아프리카,폭풍업뎃중,아프리카음식,아프리카청춘이다,cowmeatstew,아프리카좋으니까,iloveit,시댁방문,블라시안,블라시안가족,아프리카푸드,vegetablestew,나이지리아,한달치,나이지리아여행,africanfood,혼혈아기,아프리카일상,africanfoods,존맛탱,아프리카여행,밀린여행사진,블라시안베이비,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,lekki,internationalcouple,블라시안,monkey,blasian,korean,럽스타그램,zoo,라고스,국제부부,나이지리아,나이지리아비즈니스,nigeria,나이지리아여행,🇰🇷🇳🇬,나이지리아관광,lagos,푸라하,african,레키,라고스여행,canopybridge,국제커플,lekkiconservationcentre,,,,,,
6,죽겠다,블라시안,웃으며,운전하는,양보따위없음,무조건,부딫히면,아프리카,그냥,나이지리아여행,답답한걸못참는다,나이지리아,블라시안베이비,남편이,무섭다,아프리카여행,시댁방문,안전벨트가,나이지리아운전문화,owerri,날씨맑음,역주행,낯설다,왜필요하냐,인정사정볼것없는,혼혈아기,블라시안가족,가족여행,,
7,한달치,햇볕쨍쨍,시댁방문,공놀이하기,혼혈아기,낮잠자기,나이지리아여행,블라시안,아프리카,나이지리아,간식먹기,아프리카여행,블라시안가족,블라시안베이비,폭풍업뎃중,밀린여행사진,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,내예상대로,나이지리아여행,찡긋,2020년에는,인스타베스트나인은,ㅋㅋㅋ,모두들_아름다운밤_보내세요,올해의,나도_올해_가장_기억에남은순간은_나이지리아였어,아프리카는_처음이었으니까_내인생에서,그런데_다시가고싶진않은데_또가고싶기도해,시댁방문였군,새해복많이받으세요,더좋은일만가득하기를,역시나,,,,,,,,,,,,,,,
11,나이지리아여행,아프리카망고,빨간바나나,🇳🇬,nigeria,로컬마켓,🇰🇷,balogunmarket,김치,라고스,furaha,lagos,발로군,localmarket,아프리카라이프,korea,lagoslife,나이지리아,아프리카과일,,,,,,,,,,,
12,칼라바,선팔맞팔,좋아요,아프리카축제,f4f,팔로우,해외축제,나이지리아,선팔하면맞팔가요,팔로워,나이지리아🇳🇬,해외여행추천,아프리카여행,해외여행,선팔,아프리카,해외여행준비물,아부자,나이지리아여행,,,,,,,,,,,
