,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,기린장원호텔,여행에미치다,honeymoon,아프리카여행,기린장원,허니문,kenya🇰🇪,여행에미치다_아프리카,케냐여행,giraffemanor,newlyweds,,,,,,,,,,,,,,,,,,,
1,아프리카여행,giraffemanor,newlyweds,kenya🇰🇪,고니형준웨딩,케냐여행,케냐기린호텔,honeymoon,허니문,여행에미치다,여행에미치다_아프리카,기린장원호텔,고니형준허니문,기린장원,,,,,,,,,,,,,,,,
2,말랑일기_아프리카,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,nairobi,케냐여행,여행에미치다_아프리카,나이바샤,여행에미치다,kenya🇰🇪,travelafrica,나이로비,naivasha,고니형준허니문,캠핀스키나이로비,허니문,,,,,,,,,,,,,,,,,,
4,신혼여행,newlyweds,travelafrica,honeymoon,kenya🇰🇪,아프리카여행,여행에미치다_아프리카,허니문,케냐여행,고니형준허니문,여행에미치다,,,,,,,,,,,,,,,,,,,
5,giraffemanor,케냐여행,🦒,케냐기린호텔,honeymoon,기린장원,고니형준허니문,,,,,,,,,,,,,,,,,,,,,,,
6,채부여행,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,🇰🇪,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,giraffemanor,nairobikenya,아프리카여행,신혼여행,케냐기린호텔,고니형준웨딩,케냐여행,고니형준허니문,honeymoon,여행에미치다,기린장원,,,,,,,,,,,,,,,,,,,
9,africa,아프리카,nairobi,유네스코,아프리카여행,케냐,obama,케냐여행,kenya,airplane,unescoworldheritage,세계문화유산,나이로비,lamu,라무,,,,,,,,,,,,,,,
10,라무,airplane,unescoworldheritage,obama,케냐,나이로비,유네스코,세계문화유산,kenya,lamu,아프리카여행,africa,케냐여행,아프리카,nairobi,,,,,,,,,,,,,,,
11,세계문화유산,케냐,kenya,lamu,라무,nairobi,africa,unescoworldheritage,아프리카,obama,유네스코,케냐여행,airplane,나이로비,아프리카여행,,,,,,,,,,,,,,,
12,세계문화유산,nairobi,아프리카여행,아프리카,airplane,kenya,라무,unescoworldheritage,케냐,나이로비,africa,케냐여행,유네스코,obama,lamu,,,,,,,,,,,,,,,
13,케냐,유네스코,obama,kenya,나이로비,라무,아프리카,unescoworldheritage,케냐여행,airplane,nairobi,세계문화유산,아프리카여행,africa,lamu,,,,,,,,,,,,,,,
